MouseID,Age_weeks,Sex,Weight_g,BMI,Dose_mg_per_kg,Responder,Time_h,Concentration,Effect
1,8.743108190098317,Male,31.98938178633434,0.4055435736714256,3,1,0.5,2.928984369,14.076148876469457
2,7.769096388072776,Female,30.964109288301515,0.3855789003678819,10,1,0.5,8.756842272,83.21965852020617
9,19.715323820869603,Male,33.39046289325136,0.3652053806018053,100,0,0.5,94.38932657433624,7.6418102753365815
40,10.970636341612483,Male,23.390969973701303,0.3579332440864636,100,0,0.5,88.94925758558442,4.4110962032651075
1,8.743108190098317,Male,31.98938178633434,0.4055435736714256,3,1,5.722222222222222,1.4389396248969377,1.7582510835706948
1,8.743108190098317,Male,31.98938178633434,0.4055435736714256,3,1,8.333333333333334,0.3202417951277164,7.601748310153392
1,8.743108190098317,Male,31.98938178633434,0.4055435736714256,3,1,10.944444444444445,0.17494376301464867,52.04476167640159
1,8.743108190098317,Male,31.98938178633434,0.4055435736714256,3,1,13.555555555555555,0.15611656925257955,1.8128632312479434
1,8.743108190098317,Male,31.98938178633434,0.4055435736714256,3,1,16.166666666666668,0.48534267413252297,3.7777347760979683
1,8.743108190098317,Male,31.98938178633434,0.4055435736714256,3,1,18.77777777777778,0.6401236748426142,4.633151604799681
1,8.743108190098317,Male,31.98938178633434,0.4055435736714256,3,1,21.38888888888889,0,2.239741775739697
1,8.743108190098317,Male,31.98938178633434,0.4055435736714256,3,1,24,0,0
2,7.769096388072776,Female,30.964109288301515,0.3855789003678819,10,1,3.111111111111111,5.463469601513197,24.656871967428167
2,7.769096388072776,Female,30.964109288301515,0.3855789003678819,10,1,5.722222222222222,3.631665606904226,16.435791777887953
2,7.769096388072776,Female,30.964109288301515,0.3855789003678819,10,1,8.333333333333334,2.084702798806493,78.52822055148434
2,7.769096388072776,Female,30.964109288301515,0.3855789003678819,10,1,10.944444444444445,1.304039175481764,12.240835527316714
2,7.769096388072776,Female,30.964109288301515,0.3855789003678819,10,1,13.555555555555555,0.9392912456490343,4.711696682818161
2,7.769096388072776,Female,30.964109288301515,0.3855789003678819,10,1,16.166666666666668,0.31711323889968884,3.9043138203576557
2,7.769096388072776,Female,30.964109288301515,0.3855789003678819,10,1,18.77777777777778,0.3599378646596286,7.839679782306882
